Slippery Rock University	7/1/2018	5/1/2022	GPA: 4.0, Attended twice: Fall 2018-Spring 2019, Winter 2021-Spring 2022
Pitt Community College	1/1/2021	12/1/2022	GPA: 4.0, Dean's List Spring 2021, Summer 2021, Fall 2021, Spring 2022
Rochester Institute of Technology	7/1/2022		GPA: -
