Python for Programmers	Python is a favorite for developers and data scientists due to its intuitive syntax and advanced functionality. These properties also make Python arguably the most in-demand programming language in the world today. This path will help you use your programming experience to quickly adapt Python. By the end, you'll have the advanced knowledge to confidently use Python in your next project.	"2021 July	"	Python Fundamentals, Object-Oriented Programming in Python, Data Structures and Algorithms in Python, Advanced Concepts in Python	https://www.educative.io/verify-certificate/r0w3pLtnXYkROnNJKix5ZOjgZmB5u6
C++ for Programmers	C++ is a popular language used to develop browsers, games, and operating systems. It's also an essential tool in the development of modern technology like IoT and self-driving cars. This path will get you up to speed with C++ with lessons built for current developers like you. We'll take you from basic to advanced concepts, all with hands-on practice. By the end, you'll have enough C++ experience to confidently solve real-world problems.	"2021 June	"	C++ Basics, Object-Oriented Programming in C++, C++ Standard Library, Templates in C++, Concurrency with Modern C++, Embedded Programming	https://www.educative.io/verify-certificate/MjprXLCk4EXXB07yKIR7EoQKEq07IZ
C Programming with Linux	In this C Programming with Linux Professional Certificate program of seven short courses, you will learn how to write, read and debug computer programs in the C programming language while also becoming familiar with the Linux operating system.	"2021 June	"	C Programming: Getting Started, C Programming: Language Foundations, C Programming: Modular Programming and Memory Management, C Programming: Pointers and Memory Management, C Programming: Advanced Data Types, Linux Basics: The Command Line Interface, C Programming: Using Linux Tools and Libraries	https://credentials.edx.org/records/programs/shared/db9f20ef1fe84d0a9b4ff11db4ede8ab/
